RedID,Intervention,Comparison,"Group Overall                                                   and if it is available:  Age, sex, scales, duration prior to thymectomy","Outcome
Complete stable remission (CSR) or               Pharmacologial remission",Follow up (?3 years),Total participants,Total Int (n),Total comp (n),Outcome int (n),Outcome comp (n),effect size,95% CI (lower limit),95% CI (upper limit),p value,Autometris app,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,3,98,53,45,8,9,ESTA ES UNA PRUEBA,,,0.268,no,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,4,98,53,45,15,9,,,,0.268,no,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,5,98,53,45,17,9,,,,0.268,yes,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,6,98,53,45,24,11,,,,0.268,no,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,7,98,53,45,32,16,,,,0.268,yes,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,8,98,53,45,32,18,,,,0.268,no,
60,VATS unilateral alone,Extended Transternal thymectomy,Overall ,CSR,9,98,53,45,32,18,,,,0.268,yes,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,3,81,31,50,9,12,,,,0.512,yes,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,4,81,31,50,15,17,,,,0.512,yes,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,5,81,31,50,15,21,,,,0.512,no,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,6,81,31,50,15,24,,,,0.512,yes,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,7,81,31,50,15,26,,,,0.512,yes,
130,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,8,81,31,50,15,26,,,,0.512,yes,
130,VATS left,VATS right,Side of VATS,CSR,3,31,15,16,4,3,,,,0.588,yes,
130,VATS left,VATS right,Side of VATS,CSR,4,31,15,16,6,9,,,,0.588,yes,
196, VATET (unilateral), VATET (bilateral),Overall,CSR,3,103,72,31,19,8,,,,0.96,yes,
196, VATET (unilateral), VATET (bilateral),Overall,CSR,4,103,72,31,31,11,,,,0.96,yes,
196, VATET (unilateral), VATET (bilateral),Overall,CSR,5,103,72,31,34,16,,,,0.96,no,
196, VATET (unilateral), VATET (bilateral),Overall,CSR,6,103,72,31,34,16,,,,0.96,yes,
257,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,4,127,54,73,11,20,,,,0.48,,
282,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,3,187,112,75,48,32,,,,0.05,yes,
282,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,4,187,112,75,57,35,,,,0.05,yes,
282,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,5,187,112,75,63,43,,,,0.05,no,
282,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,6,187,112,75,74,49,,,,0.05,yes,
282,VATS unilateral alone,Extended Transternal thymectomy,Overall,CSR,7,187,112,75,74,49,,,,0.05,yes,
